title,pr_number,user_facing_impact,category,decision,reason
[BugFix][P/D] Modify the recalculation logic to prevent waiting requests from filling up the D node KVCache (#3641),3641,[BugFix][P/D] Modify the recalculation logic to prevent waiting requests from filling up the D node KVCache,Others,Include,Bug fix
[CI][Doc] Optimize multi-node CI (#3565),3565,[CI][Doc] Optimize multi-node CI,Ignore,Ignore,Internal/CI/test change
[UT][fix] Add missing get_ascend_config mock to NPUWorker initialization tests (#3729),3729,[UT][fix] Add missing get_ascend_config mock to NPUWorker initialization tests,Ignore,Ignore,Internal/CI/test change
[Misc] Limit ray version (#3660),3660,[Misc] Limit ray version,Others,Include,Miscellaneous
[CI] Skip ops test for e2e (#3665),3665,[CI] Skip ops test for e2e,Ignore,Ignore,Internal/CI/test change
Update version doc (#3599),3599,Update version doc,Others,Include,Miscellaneous
[BugFix][Core] Fix a bug running multi-modal with ascend_scheduler (#3675),3675,[BugFix][Core] Fix a bug running multi-modal with ascend_scheduler,Others,Include,Bug fix
[Bugfix] Fix zero attention output in qwen3-next (#3572),3572,[Bugfix] Fix zero attention output in qwen3-next,Highlights,Include,Model support
[Refactor] optimize _prepare_inputs method in eagle_proposer (#3296),3296,[Refactor] optimize _prepare_inputs method in eagle_proposer,Ignore,Ignore,Internal/CI/test change
[BugFix] Comment out newly added vlm e2e. (#3736),3736,[BugFix] Comment out newly added vlm e2e.,Others,Include,Bug fix
[Test] Add e2e test and accuracy test for Qwen3-Next-80B-A3B-Instruct (#3450),3450,[Test] Add e2e test and accuracy test for Qwen3-Next-80B-A3B-Instruct,Highlights,Include,Model support
[Doc] Update supported models (#3481),3481,[Doc] Update supported models,Documentation,Include,Documentation update
[Refactor] [MoE] Rename moe-related classes & files (#3646),3646,[Refactor] [MoE] Rename moe-related classes & files,Ignore,Ignore,Internal/CI/test change
[Test] add test for prefix cache feature of deepseek (#3733),3733,[Test] add test for prefix cache feature of deepseek,Others,Include,Miscellaneous
[bugfixfix] correct _register function place for mooncacke (#3747),3747,[bugfixfix] correct _register function place for mooncacke,Others,Include,Miscellaneous
Upgrade to new vllm commit (#3719),3719,Upgrade to new vllm commit,Others,Include,Miscellaneous
[main] remove dbo code (#3712),3712,[main] remove dbo code,Others,Include,Miscellaneous
add qwq testcase (#3757),3757,add qwq testcase,Others,Include,Miscellaneous
[BugFix] Fix Qwen3-next break (#3428),3428,[BugFix] Fix Qwen3-next break,Highlights,Include,Model support
[Installation] limit opencv-python-headless version to resolve numpy version conflict (#3713),3713,[Installation] limit opencv-python-headless version to resolve numpy version conflict,Others,Include,Miscellaneous
[feat]dcp pcp support aclgraph (#3731),3731,[feat]dcp pcp support aclgraph,Highlights,Include,Major feature
[CI] Add custom op to nightly (#3765),3765,[CI] Add custom op to nightly,Hardware and Operator Support,Include,Operator/hardware support
[CI] Enable 2 jobs for nightly test (#3781),3781,[CI] Enable 2 jobs for nightly test,Features,Include,New feature
Bump actions/download-artifact from 5 to 6 (#3787),3787,Bump actions/download-artifact from 5 to 6,Ignore,Ignore,Internal/CI/test change
Bump actions/upload-artifact from 4 to 5 (#3786),3786,Bump actions/upload-artifact from 4 to 5,Ignore,Ignore,Internal/CI/test change
[Doc][Example][Bugfix] Elements in local_device_ids should be casted … (#3782),3782,[Doc][Example][Bugfix] Elements in local_device_ids should be casted …,Documentation,Include,Documentation update
[bugfix][main]fix proxy decode bug (#3750),3750,[bugfix][main]fix proxy decode bug,Others,Include,Bug fix
[MM][Doc] Update online serving tutorials for `Qwen2-Audio` (#3606),3606,[MM][Doc] Update online serving tutorials for `Qwen2-Audio`,Documentation,Include,Model tutorial
support prefill cache mode use fia op (#3696),3696,support prefill cache mode use fia op,Hardware and Operator Support,Include,Operator/hardware support
[Doc] Update FAQ (#3792),3792,[Doc] Update FAQ,Documentation,Include,Documentation update
【Bugfix】bugfix for weight load of  kimi-k2 (#3798),3798,【Bugfix】bugfix for weight load of  kimi-k2,Highlights,Include,Model support
[TEST]Add 2P1D multi node cases for nightly test (#3764),3764,[TEST]Add 2P1D multi node cases for nightly test,Others,Include,Miscellaneous
[CI] Add multi-node test case for a2 (#3805),3805,[CI] Add multi-node test case for a2,Ignore,Ignore,Internal/CI/test change
Upgrade to 0.11.1 newest vllm commit (#3762),3762,Upgrade to 0.11.1 newest vllm commit,Others,Include,Miscellaneous
[CI] Fix nightly CI (#3821),3821,[CI] Fix nightly CI,Others,Include,Miscellaneous
[Main][Bugfix]Avoid using the fusion operator in the MOE model (#3834),3834,[Main][Bugfix]Avoid using the fusion operator in the MOE model,Performance,Include,Operator fusion
[TEST]Add aisbench log and A2 cases (#3841),3841,[TEST]Add aisbench log and A2 cases,Hardware and Operator Support,Include,Operator/hardware support
[long_seq_optim] BSND to TND and FA_UPDATE replacement (#3778),3778,[long_seq_optim] BSND to TND and FA_UPDATE replacement,Performance,Include,Performance optimization
[P/D] force with_prefill true after allreduce in kv producer (#3768),3768,[P/D] force with_prefill true after allreduce in kv producer,Others,Include,Miscellaneous
fix qwen3next full graph break. (#3812),3812,fix qwen3next full graph break.,Highlights,Include,Major feature
[Doc] Update doc (#3836),3836,[Doc] Update doc,Documentation,Include,Documentation update
[HybridKV][Bugfix] Fix Hybrid kvcache sharing bug in same attention type (#3760),3760,[HybridKV][Bugfix] Fix Hybrid kvcache sharing bug in same attention type,Others,Include,Bug fix
[Bugfix] [MoE] fix error in deepseek when using allgather (#3824),3824,[Bugfix] [MoE] fix error in deepseek when using allgather,Others,Include,Bug fix
[Perf] Delete redundant operations in model_runner and forward_context (#3677),3677,[Perf] Delete redundant operations in model_runner and forward_context,Performance,Include,Performance optimization
[CI]pin vllm commit id (#3861),3861,[CI]pin vllm commit id,Ignore,Ignore,Internal/CI/test change
[CI] Optimize nightly CI (#3858),3858,[CI] Optimize nightly CI,Performance,Include,Performance optimization
[BugFix] deepseek torchair adapt for torch_npu version (#3862),3862,[BugFix] deepseek torchair adapt for torch_npu version,Dependencies,Include,Dependency update
[CI]Fix eplb nightly tests. (#3863),3863,[CI]Fix eplb nightly tests.,Ignore,Ignore,Internal/CI/test change
fix mooncake layerwise connector (#3849),3849,fix mooncake layerwise connector,Highlights,Include,Major feature
bugfix for mtp fullgraph (#3845),3845,bugfix for mtp fullgraph,Highlights,Include,Major feature
[BugFix] Fix mlapo accuracy problem related with weight processing. (#3850),3850,[BugFix] Fix mlapo accuracy problem related with weight processing.,Hardware and Operator Support,Include,Operator/hardware support
[CI]Fix oom of deepseek-eplb nigtly test. (#3884),3884,[CI]Fix oom of deepseek-eplb nigtly test.,Ignore,Ignore,Internal/CI/test change
Add FAQ for docker pull error on Kylin OS (#3870),3870,Add FAQ for docker pull error on Kylin OS,Others,Include,Miscellaneous
[UT] fix skip ut test for test_utils (#3803),3803,[UT] fix skip ut test for test_utils,Ignore,Ignore,Internal/CI/test change
[Doc] Remove modeling doc (#3789),3789,[Doc] Remove modeling doc,Documentation,Include,Documentation update
[Build] Force torch version (#3791),3791,[Build] Force torch version,Others,Include,Miscellaneous
[FEAT] Refactor spec decode to support efficient padded speculation (#3528),3528,[FEAT] Refactor spec decode to support efficient padded speculation,Features,Include,New feature
[Model][3/N] Refactor sfa into mla and remove deepseek_v3_2.py (#3769),3769,[Model][3/N] Refactor sfa into mla and remove deepseek_v3_2.py,Hardware and Operator Support,Include,Operator/hardware support
[feature] Prompt Embeddings Support for v1 Engine (#3026),3026,[feature] Prompt Embeddings Support for v1 Engine,Features,Include,New feature
[TEST]Add MALPO for aclgraph in nightly test (#3894),3894,[TEST]Add MALPO for aclgraph in nightly test,Highlights,Include,Major feature
[BugFix]Fix group list type of mc2. (#3864),3864,[BugFix]Fix group list type of mc2.,Others,Include,Bug fix
[bugfix] layerwise D first plan (#3866),3866,[bugfix] layerwise D first plan,Others,Include,Bug fix
[CI] Optimize nightly CI (#3898),3898,[CI] Optimize nightly CI,Performance,Include,Performance optimization
[bugfix]cancel tokenize  for layerwise_proxy (#3914),3914,[bugfix]cancel tokenize  for layerwise_proxy,Others,Include,Bug fix
add new e2e tests case for aclgraph memory (#3879),3879,add new e2e tests case for aclgraph memory,Highlights,Include,Major feature
mfix bug when max_seqs=14 in mtp=2 scenario and raise error when cudagraph_capture_sizes can't be an integer multiple of uniform_decode_query_lentp (#3910),3910,mfix bug when max_seqs=14 in mtp=2 scenario and raise error when cudagraph_capture_sizes can't be an integer multiple of uniform_decode_query_lentp,Highlights,Include,Major feature
[Bugfix] Fix MTP support for lmhead_tensor_parallel_size (#3915),3915,[Bugfix] Fix MTP support for lmhead_tensor_parallel_size,Highlights,Include,Major feature
[Test] Add new test model for aclgraph single_request (#3888),3888,[Test] Add new test model for aclgraph single_request,Highlights,Include,Major feature
[main][bugfix] fix valueError in static_forward_context when prefix is empty (#3924),3924,[main][bugfix] fix valueError in static_forward_context when prefix is empty,Others,Include,Bug fix
[E2E][MM] Add e2e tests for InternVL model (#3796),3796,[E2E][MM] Add e2e tests for InternVL model,Highlights,Include,Model support
[feature] support pcp + mtp (with pd disaggregate) (#3822),3822,[feature] support pcp + mtp (with pd disaggregate),Highlights,Include,Major feature
[Doc] Update doc for release notese (#3853),3853,[Doc] Update doc for release notese,Documentation,Include,Documentation update
Update torch-npu version to 2.7.1 (#3896),3896,Update torch-npu version to 2.7.1,Dependencies,Include,Dependency update
[CI][Nightly] Correct the commit hash available for mooncake (#3943),3943,[CI][Nightly] Correct the commit hash available for mooncake,Highlights,Include,Major feature
[Perf] Move attention update stream out of loop to optimize performance (#3848),3848,[Perf] Move attention update stream out of loop to optimize performance,Performance,Include,Performance optimization
[Feat][UT] Support Deepseekv32 FULL_DECODE_ONLY mode and add unit test of sfa_v1 (#3763),3763,[Feat][UT] Support Deepseekv32 FULL_DECODE_ONLY mode and add unit test of sfa_v1,Ignore,Ignore,Internal/CI/test change
correct bug to fix the value of max_num_tokens (#3933),3933,correct bug to fix the value of max_num_tokens,Others,Include,Miscellaneous
[CI][Nightly] Fix mooncake build (#3958),3958,[CI][Nightly] Fix mooncake build,Highlights,Include,Major feature
[Test] Add new e2e test use deepseek-v2-lite in ge graph mode (#3937),3937,[Test] Add new e2e test use deepseek-v2-lite in ge graph mode,Others,Include,Miscellaneous
revert TND modify when dcp pcp (#3948),3948,revert TND modify when dcp pcp,Ignore,Ignore,Internal/CI/test change
Quality enhancement: Immediately interrupt execution when memory OOM (#3932),3932,Quality enhancement: Immediately interrupt execution when memory OOM,Others,Include,Miscellaneous
[Test] Add accuracy test for qwen3-8b-w8a8 (#3799),3799,[Test] Add accuracy test for qwen3-8b-w8a8,Others,Include,Miscellaneous
[BugFix] Fix deepseek v3.2 mtp bug. (#3900),3900,[BugFix] Fix deepseek v3.2 mtp bug.,Highlights,Include,Major feature
[Test]Add accuracy test for multiple models (#3823),3823,[Test]Add accuracy test for multiple models,Others,Include,Miscellaneous
[PD Disaggregation]Set adxl engine as default backend and update README (#3761),3761,[PD Disaggregation]Set adxl engine as default backend and update README,Highlights,Include,Major feature
[TEST]Add full graph for multimodal nightly tests (#3968),3968,[TEST]Add full graph for multimodal nightly tests,Highlights,Include,Major feature
[Perf] move quant before allgather in Allgather EP (#3420),3420,[Perf] move quant before allgather in Allgather EP,Performance,Include,Performance optimization
[ModelRunner][Refactor] Refactor kv cache tensor initialization logic (#3106),3106,[ModelRunner][Refactor] Refactor kv cache tensor initialization logic,Ignore,Ignore,Internal/CI/test change
[Test] Add accuracy test for qwen3-30b-a3b-w8a8 (#3807),3807,[Test] Add accuracy test for qwen3-30b-a3b-w8a8,Hardware and Operator Support,Include,Operator/hardware support
[Doc] Refactor the DeepSeek-V3.2-Exp tutorial. (#3871),3871,[Doc] Refactor the DeepSeek-V3.2-Exp tutorial.,Documentation,Include,Model tutorial
support qwen3-next full_decode_only mode. (#3949),3949,support qwen3-next full_decode_only mode.,Highlights,Include,Major feature
[docs] add aclgraph developer guide (#3683),3683,[docs] add aclgraph developer guide,Highlights,Include,Major feature
[Doc] Update version policy (#3999),3999,[Doc] Update version policy,Documentation,Include,Documentation update
[Doc] add mtp doc (#3770),3770,[Doc] add mtp doc,Highlights,Include,Major feature
[docs] Add kv pool developer guide (#3752),3752,[docs] Add kv pool developer guide,Highlights,Include,Major feature
[Doc]Add developer guide of eplb. (#3759),3759,[Doc]Add developer guide of eplb.,Highlights,Include,Major feature
[main][doc][kv_pool]Add adxl timeout parameter in kv pool user guide (#4012),4012,[main][doc][kv_pool]Add adxl timeout parameter in kv pool user guide,Highlights,Include,Major feature
[Test] Refactor accuracy test to nightly test (#3814),3814,[Test] Refactor accuracy test to nightly test,Others,Include,Miscellaneous
[P/D]Make kv-transfer env variable take effect & Fix load-balance proxy (#3981),3981,[P/D]Make kv-transfer env variable take effect & Fix load-balance proxy,Others,Include,Miscellaneous
[Feat](Mooncake) Supports multiple input suffixes for global_segment_size (#3690),3690,[Feat](Mooncake) Supports multiple input suffixes for global_segment_size,Highlights,Include,Major feature
[feat]decode convert bsnd to tnd and fix bug when pcp and dcp (#3980),3980,[feat]decode convert bsnd to tnd and fix bug when pcp and dcp,Highlights,Include,Major feature
[TEST]Update nightly acc test standard (#4032),4032,[TEST]Update nightly acc test standard,Others,Include,Miscellaneous
[CI] Quick fix mooncake for nightly-ci (#4028),4028,[CI] Quick fix mooncake for nightly-ci,Highlights,Include,Major feature
[Bugfix] Add constraints for sequence parallelism (#4014),4014,[Bugfix] Add constraints for sequence parallelism,Highlights,Include,Major feature
[BugFix][main] Adapted to torch_npu.npu_fused_infer_attention_score (#4025),4025,[BugFix][main] Adapted to torch_npu.npu_fused_infer_attention_score,Performance,Include,Operator fusion
[main][bugfix] Fix a rare bug triggered by _npu_paged_attention in FULL_DECODE_ONLY mode (#3986),3986,[main][bugfix] Fix a rare bug triggered by _npu_paged_attention in FULL_DECODE_ONLY mode,Highlights,Include,Major feature
[long_seq] fix A2 accuracy problem (#4030),4030,[long_seq] fix A2 accuracy problem,Hardware and Operator Support,Include,Operator/hardware support
[Feat] update op for mla (#4000),4000,[Feat] update op for mla,Features,Include,New feature
[UT] Add new ut case for aclgraph in auto enable (#4031),4031,[UT] Add new ut case for aclgraph in auto enable,Ignore,Ignore,Internal/CI/test change
[Doc] Add model feature matrix table. (#4040),4040,[Doc] Add model feature matrix table.,Documentation,Include,Documentation update
[Feat] Adapted mtp function to Qwen3-next (#3918),3918,[Feat] Adapted mtp function to Qwen3-next,Highlights,Include,Major feature
[BugFix]Fix group list type of mc2. (#4047),4047,[BugFix]Fix group list type of mc2.,Others,Include,Bug fix
[CI]Fix eplb ci. (#4052),4052,[CI]Fix eplb ci.,Ignore,Ignore,Internal/CI/test change
[Bugfix] fix sleepmode level2 e2e test (#4019),4019,[Bugfix] fix sleepmode level2 e2e test,Ignore,Ignore,Internal/CI/test change
[P/D][BugFix]Fix proxy format processing errors & Layerwise connector performance optimization (#4043),4043,[P/D][BugFix]Fix proxy format processing errors & Layerwise connector performance optimization,Performance,Include,Performance optimization
[BugFix] Improve the performance of prefixcache features (#4022),4022,[BugFix] Improve the performance of prefixcache features,Performance,Include,Performance optimization
[Bugfix]fix pcp dcp attn aclgraph (#4066),4066,[Bugfix]fix pcp dcp attn aclgraph,Highlights,Include,Major feature
[Info][main] Corrected the errors in the information (#4055),4055,[Info][main] Corrected the errors in the information,Others,Include,Miscellaneous
[TEST]Add qwen3-235b-w8a8 and qwen3-30b-w8a8 nightly test (#3973),3973,[TEST]Add qwen3-235b-w8a8 and qwen3-30b-w8a8 nightly test,Others,Include,Miscellaneous
[Doc] Remove extra MLAPO installation step for DeepSeek-V3.2. (#4024),4024,[Doc] Remove extra MLAPO installation step for DeepSeek-V3.2.,Documentation,Include,Model tutorial
[docs] [P/D] add feature guide for disaggregated-prefill (#3950),3950,[docs] [P/D] add feature guide for disaggregated-prefill,Highlights,Include,Major feature
[Feat] flashcomm_v2 optim solution (#3232),3232,[Feat] flashcomm_v2 optim solution,Performance,Include,Performance optimization
[Feature][Build] Upgrade the minimum version to 3.10 (#3926),3926,[Feature][Build] Upgrade the minimum version to 3.10,Features,Include,New feature
[Fix]  fix Qwen2-Audio-7B-Instruct accuracy test (#4017),4017,[Fix]  fix Qwen2-Audio-7B-Instruct accuracy test,Ignore,Ignore,Internal/CI/test change
[Typo] LLama has been changed to Llama (#4089),4089,[Typo] LLama has been changed to Llama,Others,Include,Miscellaneous
[Core] Restore scheduling logic under default configuration (#3967),3967,[Core] Restore scheduling logic under default configuration,Others,Include,Miscellaneous
[Doc] add qwen3 w4a4 tutorial (#4076),4076,[Doc] add qwen3 w4a4 tutorial,Documentation,Include,Documentation update
[BugFix] Fixes Qwen3-Next enable nz accuracy problem (#4058),4058,[BugFix] Fixes Qwen3-Next enable nz accuracy problem,Highlights,Include,Model support
[Doc] Add release note for v0.11.0rc1 (#3931),3931,[Doc] Add release note for v0.11.0rc1,Documentation,Include,Documentation update
[main][Bugfix] Fix ngram precision issue and open e2e ngram test (#4090),4090,[main][Bugfix] Fix ngram precision issue and open e2e ngram test,Ignore,Ignore,Internal/CI/test change
[feature] chunkprefill support pcp&dcp (#3801),3801,[feature] chunkprefill support pcp&dcp,Highlights,Include,Major feature
[Doc] Recover installation doc to use pip install (#4109),4109,[Doc] Recover installation doc to use pip install,Documentation,Include,Documentation update
[Test] Add nightly test for DeepSeek-V3.2-Exp (#3908),3908,[Test] Add nightly test for DeepSeek-V3.2-Exp,Highlights,Include,Model support
[Fix] Refactor and fix dist test to e2e full test (#3808),3808,[Fix] Refactor and fix dist test to e2e full test,Ignore,Ignore,Internal/CI/test change
[Fixbug] Fix ut test (#4116),4116,[Fixbug] Fix ut test,Ignore,Ignore,Internal/CI/test change
Remove VLLM_USE_V1 (#4086),4086,Remove VLLM_USE_V1,Others,Include,Miscellaneous
[CI] Integrate mooncake to vllm-ascend base image (#4062),4062,[CI] Integrate mooncake to vllm-ascend base image,Ignore,Ignore,Internal/CI/test change
[TEST]Update nightly cases and add mtpx (#4111),4111,[TEST]Update nightly cases and add mtpx,Highlights,Include,Major feature
oproj TP support acl graph (#4073),4073,oproj TP support acl graph,Features,Include,New feature
[Test][Accuracy] Add accuracy evaluation config for InternVL3_5-8B (#3964),3964,[Test][Accuracy] Add accuracy evaluation config for InternVL3_5-8B,Highlights,Include,Model support
[Misc][Doc] Add service profiling feature with user guide (#3756),3756,[Misc][Doc] Add service profiling feature with user guide,Documentation,Include,Documentation update
[Perf] Remove D2H operations to imporve performance (#4063),4063,[Perf] Remove D2H operations to imporve performance,Performance,Include,Performance optimization
"[Doc] Fix DeepSeek-3.2-Exp doc, remove v0.11.0rc0 outdated infos. (#4095)",4095,"[Doc] Fix DeepSeek-3.2-Exp doc, remove v0.11.0rc0 outdated infos.",Documentation,Include,Documentation update
fix fullgraph in ds. (#4016),4016,fix fullgraph in ds.,Others,Include,Miscellaneous
[feature] support pcp + mtp (in pd co-locate scenario) (#4098),4098,[feature] support pcp + mtp (in pd co-locate scenario),Highlights,Include,Major feature
[main][bugfix] Change seq_lens in dummy attn_metadata to max_query_len (#4097),4097,[main][bugfix] Change seq_lens in dummy attn_metadata to max_query_len,Others,Include,Bug fix
[CI] Fix nightly-ci (#4159),4159,[CI] Fix nightly-ci,Others,Include,Miscellaneous
Upgrade to 0.11.1 newest vllm commit (#3982),3982,Upgrade to 0.11.1 newest vllm commit,Others,Include,Miscellaneous
[Perf] fix async copy for async scheduling (#4113),4113,[Perf] fix async copy for async scheduling,Performance,Include,Performance optimization
[Perf] [MoE] optimize all2allv (#3738),3738,[Perf] [MoE] optimize all2allv,Performance,Include,Performance optimization
[Bugfix] fix mtp profile run error where main model and mtp model use different quantization (#4102),4102,[Bugfix] fix mtp profile run error where main model and mtp model use different quantization,Highlights,Include,Major feature
[BugFix] adapted e2e tests for Qwen3-next-mtp (#4160),4160,[BugFix] adapted e2e tests for Qwen3-next-mtp,Ignore,Ignore,Internal/CI/test change
[BugFix] Fix kv_no_split not contiguous (#3594),3594,[BugFix] Fix kv_no_split not contiguous,Others,Include,Bug fix
[Info][main] Correct the mistake in information documents (#4157),4157,[Info][main] Correct the mistake in information documents,Others,Include,Miscellaneous
[Test]Add ut test qwen3_moe and sfa (#4121),4121,[Test]Add ut test qwen3_moe and sfa,Ignore,Ignore,Internal/CI/test change
[CI] Remove unsupported python 3.9 format check (#4172),4172,[CI] Remove unsupported python 3.9 format check,Ignore,Ignore,Internal/CI/test change
[CI] Add daily images build for nightly ci (#3989),3989,[CI] Add daily images build for nightly ci,Others,Include,Miscellaneous
[long_seq_Feat] support chunk prefill (#4158),4158,[long_seq_Feat] support chunk prefill,Features,Include,New feature
[CI] Add multi-nodes EPLB configs of DeepSeek-R1-W8A8 & Qwen3-235B-W8A8 (#4144),4144,[CI] Add multi-nodes EPLB configs of DeepSeek-R1-W8A8 & Qwen3-235B-W8A8,Ignore,Ignore,Internal/CI/test change
[Bugfix] fix cannot import name get_mp_context (#4174),4174,[Bugfix] fix cannot import name get_mp_context,Others,Include,Bug fix
[Feat] Adds a utility for printing from within ACL graphs (#4162),4162,[Feat] Adds a utility for printing from within ACL graphs,Features,Include,New feature
[Platform] Add import_kernels interface (#3694),3694,[Platform] Add import_kernels interface,Hardware and Operator Support,Include,Operator/hardware support
[Misc] Add benchmark results into `.gitignore` (#4200),4200,[Misc] Add benchmark results into `.gitignore`,Others,Include,Miscellaneous
[Test] Add deepseek v3.2 exp nightly test (#4191),4191,[Test] Add deepseek v3.2 exp nightly test,Highlights,Include,Model support
[CI] Fix no space left in build wheel CI. (#4215),4215,[CI] Fix no space left in build wheel CI.,Ignore,Ignore,Internal/CI/test change
support FULL graph mode for GQA (#3970),3970,support FULL graph mode for GQA,Highlights,Include,Major feature
[TEST]Update prefixcache perf threshold for qwen3-32b-int8 (#4220),4220,[TEST]Update prefixcache perf threshold for qwen3-32b-int8,Others,Include,Miscellaneous
make vllm-ascend work well in developer mode (#4179),4179,make vllm-ascend work well in developer mode,Others,Include,Miscellaneous
[Bugfix]Fix moe error when sp chunked the hidden_states (#4212),4212,[Bugfix]Fix moe error when sp chunked the hidden_states,Others,Include,Bug fix
[main][misc]change default capture size for Qwen3-MoE when using full dp (#4199),4199,[main][misc]change default capture size for Qwen3-MoE when using full dp,Others,Include,Miscellaneous
[feature] Mooncake_connector support pcp/dcp (#4183),4183,[feature] Mooncake_connector support pcp/dcp,Highlights,Include,Major feature
[P/D] pd proxy support ipv6 (#4161),4161,[P/D] pd proxy support ipv6,Features,Include,New feature
[bugfix] fix proxy hen host ip using domain name (#4243),4243,[bugfix] fix proxy hen host ip using domain name,Others,Include,Bug fix
